datapoint,label,animal,mx,my,mz,sx,sy,sz,DtWP,speed,error
0,3,1,0.6235141754150391,0.2098379135131836,-0.8673763275146484,0.0930551465053009,0.0641075907603572,0.0567191094957315,0.9593902655604012,0.59,6.07
1,3,1,0.6177520751953125,0.1531524658203125,-0.8907489776611328,0.0651690121820591,0.0567025691655896,0.0378757742039711,2.229662574325804,0.18,5.15
2,3,1,0.6193084716796875,0.1363964080810547,-0.8916530609130859,0.0174043526537681,0.0118107576119523,0.0132610101111299,1.5941140718933482,0.15,6.38
3,3,1,0.6193656921386719,0.1398963928222656,-0.8937892913818359,0.0210262744805168,0.0146569885279851,0.0132655072721487,1.9022832212052576,0.125,6.109999999999999
4,0,1,0.7391719818115234,0.1661100387573242,-0.7854890823364258,0.1381791507272684,0.1010970519449558,0.0981709199722168,5.957241842935001,0.23,5.22
5,0,1,0.728022575378418,0.1614065170288086,-0.8060522079467773,0.1028034050899346,0.0796211358004519,0.0845574577603265,5.4641954284705365,0.27,5.6000000000000005
6,0,1,0.735072135925293,0.1828031539916992,-0.7750339508056641,0.179779907078637,0.1245864836645691,0.1442203410720636,3.2963693132993,0.14,5.41
7,0,1,0.7220840454101562,0.2131519317626953,-0.7748355865478516,0.1816454024046456,0.1227057636406747,0.141723567450531,3.1070149273150105,0.28,4.7
8,0,1,0.7316417694091797,0.2143888473510742,-0.7905130386352539,0.1258219141544092,0.0870085069629462,0.0983126571646953,4.348579212884105,0.14,5.24
9,0,1,0.7132930755615234,0.2088851928710937,-0.8028602600097656,0.1405688148525792,0.0823910938032343,0.102256156553049,3.9719745312430725,0.21,3.98
10,0,1,0.7380046844482422,0.1813859939575195,-0.7835817337036133,0.155643007270571,0.0793604781167783,0.1203823740801338,4.277892019982808,0.37,4.55
11,0,1,0.7563095092773438,0.1878986358642578,-0.7503499984741211,0.1803277571190308,0.0870215119237892,0.1434779277589553,5.22828799056456,0.27,4.29
12,0,1,0.6348171234130859,0.1796321868896484,-0.8621196746826172,0.1712988508404136,0.0916238211128868,0.1470683151830639,5.829595037538817,0.19,5.03
13,0,1,0.6267833709716797,0.1631422042846679,-0.8656682968139648,0.1346954287056269,0.0941217958230962,0.1142161811087679,3.169099697750049,0.23,3.72
14,0,1,0.6419687271118164,0.192056655883789,-0.8573493957519531,0.1309692393821513,0.098995350433895,0.0983256212701554,3.73794396598992,0.27,4.87
15,0,1,0.6725845336914062,0.2347297668457031,-0.823674201965332,0.1148042804694842,0.1008200824764863,0.1001673805247453,3.2662040410148263,0.2,4.48
16,0,1,0.6742973327636719,0.2441749572753906,-0.82244873046875,0.131367667185049,0.0904827122266404,0.1049846735945418,3.2095298086358257,0.17,5.44
17,0,1,0.6048574447631836,0.2285823822021484,-0.8731508255004883,0.1736272984328462,0.1178893351523082,0.142907207254924,3.0558883813517017,0.165,4.405
18,4,1,0.1846952438354492,0.2011547088623047,-1.0150041580200195,0.1048685045114912,0.1180200345804714,0.0634464206659225,10.273400987195043,0.28,4.38
19,4,1,0.2407045364379882,0.1676912307739257,-1.022380828857422,0.0895702907729424,0.1029614233899954,0.0572591284814187,11.12728088395892,0.23,4.84
20,0,1,0.6576328277587891,0.1416034698486328,-0.8214073181152344,0.1517903894743132,0.099555667093245,0.1065943822099443,3.8829742291804443,0.59,5.96
21,0,1,0.7390241622924805,0.0867443084716796,-0.7779264450073242,0.1813537735344659,0.1292365005342801,0.1590940356673739,4.144738639097137,0.13,6.55
22,0,1,0.8246593475341797,0.1535043716430664,-0.6922426223754883,0.144334316389836,0.0959080594032728,0.1264611306752263,4.055611216766408,0.22,6.97
23,0,1,0.8528680801391602,0.1379852294921875,-0.6597471237182617,0.1800529643786618,0.1227430374074018,0.144965673116643,4.499052772609196,0.1005,6.83
24,0,1,0.7547388076782227,0.1176090240478515,-0.7584638595581055,0.2154842651933637,0.1231574228129808,0.1470975680052454,3.3211585637375816,0.39,6.65
25,0,1,0.787109375,0.147491455078125,-0.7444171905517578,0.1256218559511014,0.0731085884351994,0.1095663630158171,3.9268743659604555,0.13,6.73
26,0,1,0.770228385925293,0.1606731414794922,-0.7702169418334961,0.1285635930002539,0.0945890282431406,0.0884531019419814,2.53340610444994,0.1005,6.28
27,0,1,0.7293367385864258,0.1192922592163086,-0.7832660675048828,0.1792770642029446,0.0939876324642605,0.1400825172309364,3.559345286483538,0.21,6.84
28,0,1,0.7263412475585938,0.1357870101928711,-0.8005790710449219,0.1301307452347179,0.0971149837245326,0.1075532664414507,4.841709326220837,0.21,6.78
29,0,1,0.7513637542724609,0.1857204437255859,-0.7726202011108398,0.0919658396713259,0.0784350250249869,0.0606637529568188,2.705735863688353,0.11,6.43
30,0,1,0.8459911346435547,0.1851692199707031,-0.6692829132080078,0.2034190953454038,0.123996535625886,0.1574080831821865,3.3000634991430142,0.19,6.71
31,0,1,0.7964458465576172,0.172067642211914,-0.7134122848510742,0.1738520713450781,0.1402090336031245,0.1388886671422873,3.482259748739597,0.21,6.57
32,0,1,0.8039712905883789,0.1809473037719726,-0.7157602310180664,0.1755686367596331,0.0990004014135623,0.1520641292822124,1.4651504948302934,0.13,6.16
33,0,1,0.7625808715820312,0.1377067565917968,-0.7670726776123047,0.1262780760948075,0.0870784885751339,0.0993105273586043,1.833652561363683,0.10525000000000001,6.465
34,0,1,0.7632637023925781,0.1341075897216797,-0.7533702850341797,0.2226201928588993,0.1041813854492381,0.1892850423335901,0.9675730172268412,0.26,6.45
