datapoint,label,animal,mx,my,mz,s1x,s1y,s1z,s2x,s2y,s2z,DtWP,speed,error
0,0,2,0.983051300048828,0.1889877319335937,0.0775833129882812,0.1339654209426152,0.099313014654536,0.0846169464564404,0.1001918021432143,0.0667972039385476,0.0629013176426694,6.464703530816718,0.22999999999999998,6.8100000000000005
1,0,2,0.9581584930419922,0.2787208557128906,0.1073188781738281,0.1677847205149148,0.1331992031340915,0.142097362434936,0.1287969039278892,0.0868176288082297,0.0967696293982743,6.5684482043045405,0.16,6.885
2,0,2,0.934478759765625,0.3526744842529297,0.0928268432617187,0.1282602133679719,0.1075745994356558,0.0972755834114549,0.1058807191187248,0.073735160627489,0.0718505028733481,6.209027793259324,0.18,6.8
3,0,2,0.9433612823486328,0.302682876586914,0.0869064331054687,0.1549339376940851,0.1316338477248409,0.1371334389995579,0.1266015828759502,0.092147881304906,0.1028297744288525,5.68137934789322,0.18,6.91
4,0,2,0.9409618377685548,0.3376388549804687,0.0632858276367187,0.1949654110026804,0.1656371608903605,0.154943994670302,0.1485706727388303,0.1049449476142628,0.1078411469328241,5.218368171036647,0.24,6.9
5,0,2,0.9820022583007812,0.1313800811767578,-0.0413455963134765,0.1463793526257242,0.1217979149490631,0.1256451289500293,0.1142831818358577,0.0812362961621321,0.0883783296709863,6.351112484133691,0.435,6.6899999999999995
6,0,2,1.0078277587890625,0.1416740417480468,-0.0238246917724609,0.1479709747348945,0.108643035651486,0.1405467497996701,0.1168974745762025,0.0748250412575698,0.098416437522093,6.058895066472345,0.18,6.640000000000001
7,0,2,0.9947624206542968,0.0685787200927734,-0.0186843872070312,0.1375693048813214,0.1323692740681261,0.1231464337323056,0.1037391617834286,0.0829876642083981,0.0849742957392793,5.720649448571598,0.265,6.970000000000001
8,0,2,0.9953556060791016,0.0806388854980468,0.0669937133789062,0.1648265943870802,0.1158526834045537,0.1106113217307585,0.1258196006587708,0.0759993233097033,0.0780431956519324,5.576607253537816,0.32,6.99
9,0,2,0.9541263580322266,0.1506195068359375,0.2472038269042968,0.1453078604998032,0.0879764061817634,0.0799982970114884,0.1052252715273832,0.0594688361676062,0.0587372127654188,6.810730424371557,0.175,7.025
